,Cohorte,log(qx),Edad
10359,2001,-6.4315210999857655,36
10360,2001,-6.406979991069647,37
10361,2001,-6.271178449910586,38
10362,2001,-6.18991548583182,39
10363,2001,-6.151633299260803,40
10364,2001,-6.161067331494162,41
10365,2001,-6.12843040218114,42
10366,2001,-6.0157572396770265,43
10367,2001,-5.944580961209131,44
10368,2001,-5.8499649848342825,45
10369,2001,-5.779584188072483,46
10370,2001,-5.635189683190589,47
10371,2001,-5.6021288209297015,48
10372,2001,-5.442187736967739,49
10373,2001,-5.37952742197358,50
10374,2001,-5.347507610738808,51
10375,2001,-5.199377418693133,52
10376,2001,-5.13110944756413,53
10377,2001,-5.046780740732609,54
10378,2001,-4.936455895922005,55
10379,2001,-4.922624416773543,56
10380,2001,-4.747886488189686,57
10381,2001,-4.721704002244043,58
10382,2001,-4.6659823253848485,59
10383,2001,-4.554477071672573,60
10384,2001,-4.511679842900753,61
10385,2001,-4.37962951007416,62
10386,2001,-4.265844880384472,63
10387,2001,-4.179249069312545,64
10388,2001,-4.132046429406112,65
10389,2001,-4.055316175254622,66
10390,2001,-3.952844999948401,67
10391,2001,-3.87520903230543,68
10392,2001,-3.759301918410482,69
10393,2001,-3.6393276752846884,70
10394,2001,-3.5526018358213887,71
10395,2001,-3.471512555577181,72
10396,2001,-3.355555023783454,73
10397,2001,-3.2699059959809795,74
10398,2001,-3.155431652311666,75
10399,2001,-3.0678729513316734,76
10400,2001,-2.946180494724743,77
10401,2001,-2.870333864159657,78
10402,2001,-2.757030383323929,79
10403,2001,-2.649451158799274,80
10404,2001,-2.5474631364542617,81
10405,2001,-2.4381757473003938,82
10406,2001,-2.355353158532701,83
10407,2001,-2.2579942096661707,84
10408,2001,-2.1520122345146713,85
10409,2001,-2.067117791991004,86
10410,2001,-1.9515761706819401,87
10411,2001,-1.8848620874903792,88
10412,2001,-1.7773241614317994,89
10413,2001,-1.690214222461388,90
10414,2001,-1.6089380373924493,91
10415,2001,-1.501525655239705,92
10416,2001,-1.4261168553070622,93
10417,2001,-1.3935204062116302,94
10418,2001,-1.301695892854551,95
10419,2001,-1.2335732741022267,96
10420,2001,-1.168863093879177,97
10421,2001,-1.1076328518891927,98
10422,2001,-1.0498792689885357,99
10423,2001,-0.9955774753606345,100
10424,2001,-0.9447159268912312,101
10425,2001,-0.8972236691569293,102
10426,2001,-0.8530577500823292,103
10427,2001,-0.8120658608166225,104
10428,2001,-0.7742054036948068,105
10429,2001,-0.7392748922037317,106
10430,2001,-0.7072055378109855,107
10431,2001,-0.6777857734472461,108
10432,2001,-0.6509117853611877,109
10433,2001,0.0,110+
10434,2002,-5.3882420740760235,0
10435,2002,-7.902007552326004,1
10436,2002,-8.254828926948747,2
10437,2002,-8.377431249041079,3
10438,2002,-8.622553707074063,4
10439,2002,-8.87386813535497,5
10440,2002,-8.568486485803788,6
10441,2002,-8.622553707074063,7
10442,2002,-8.947976107508692,8
10443,2002,-9.210340371976182,9
10444,2002,-9.028018815182229,10
10445,2002,-8.947976107508692,11
10446,2002,-8.87386813535497,12
10447,2002,-8.517193191416238,13
10448,2002,-8.145629634983754,14
10449,2002,-7.957577403480815,15
10450,2002,-7.66277786326017,16
10451,2002,-7.542633551418106,17
10452,2002,-7.402051600796917,18
10453,2002,-7.250245587928913,19
10454,2002,-7.05857816871672,20
10455,2002,-7.1184763102977895,21
10456,2002,-7.024289095238089,22
10457,2002,-7.143477612503207,23
10458,2002,-7.195437351433918,24
10459,2002,-7.222466023821838,25
10460,2002,-7.070274208479912,26
10461,2002,-7.047017346315645,27
10462,2002,-7.047017346315645,28
10463,2002,-6.959048573369688,29
10464,2002,-6.897804948128969,30
10465,2002,-6.8589651148127055,31
10466,2002,-6.785537646257888,32
10467,2002,-6.708904420236972,33
10468,2002,-6.607650686531799,34
10469,2002,-6.607650686531799,35
10470,2002,-6.489044944123952,36
10471,2002,-6.4315210999857655,37
10472,2002,-6.419175264163466,38
10473,2002,-6.250235276065343,39
10474,2002,-6.194805471126012,40
10475,2002,-6.12843040218114,41
10476,2002,-6.087975447488826,42
10477,2002,-5.967748020490665,43
10478,2002,-5.896154367303657,44
10479,2002,-5.805815200221352,45
10480,2002,-5.735273141747572,46
10481,2002,-5.618522630705377,47
10482,2002,-5.523964048080365,48
10483,2002,-5.509038397863689,49
10484,2002,-5.392628046019278,50
10485,2002,-5.358067370953811,51
10486,2002,-5.270702199515063,52
10487,2002,-5.177871213472169,53
10488,2002,-5.026764676026139,54
10489,2002,-5.060876510533003,55
10490,2002,-4.911695346241352,56
10491,2002,-4.833326279125846,57
10492,2002,-4.719459332390219,58
10493,2002,-4.650167551918827,59
10494,2002,-4.523590198995668,60
10495,2002,-4.482952553263842,61
10496,2002,-4.405499990859524,62
10497,2002,-4.303585208367319,63
10498,2002,-4.218548165681407,64
10499,2002,-4.131423570463522,65
10500,2002,-4.059943135504768,66
10501,2002,-3.943513672519517,67
10502,2002,-3.9050473916917205,68
10503,2002,-3.7567301210221107,69
10504,2002,-3.683692927426636,70
10505,2002,-3.593205704045654,71
10506,2002,-3.4799159663735604,72
10507,2002,-3.385225612152457,73
10508,2002,-3.286351989993115,74
10509,2002,-3.1580159366114384,75
10510,2002,-3.06765801312558,76
10511,2002,-2.950376571833194,77
10512,2002,-2.863651933196783,78
10513,2002,-2.7523156174002255,79
10514,2002,-2.660546578458243,80
10515,2002,-2.5447840508434147,81
10516,2002,-2.4600579518186096,82
10517,2002,-2.3409102073157135,83
10518,2002,-2.240455721528497,84
10519,2002,-2.1464364105041143,85
10520,2002,-2.0342387568490072,86
10521,2002,-1.9493962183401452,87
10522,2002,-1.8722972994545357,88
10523,2002,-1.8215178913923304,89
10524,2002,-1.7103085228190746,90
10525,2002,-1.602561608494668,91
10526,2002,-1.4998214661107774,92
10527,2002,-1.4520496221853576,93
10528,2002,-1.3659820598080123,94
10529,2002,-1.3034248832975959,95
10530,2002,-1.2354290722841614,96
10531,2002,-1.1707959596313788,97
10532,2002,-1.1096024599680128,98
10533,2002,-1.0518813861805034,99
10534,2002,-0.9976092530517435,100
10535,2002,-0.9467499393588635,101
10536,2002,-0.8992615548812934,102
10537,2002,-0.8550545324035816,103
10538,2002,-0.8140500779276076,104
10539,2002,-0.7761158312997112,105
10540,2002,-0.7411406621652242,106
10541,2002,-0.7089920501217829,107
10542,2002,-0.6795204476452885,108
10543,2002,-0.6525428097180053,109
10544,2002,0.0,110+
10545,2003,-5.4608362960458114,0
10546,2003,-7.799353398265921,1
10547,2003,-8.111728083308073,2
10548,2003,-8.334871634622283,3
10549,2003,-8.87386813535497,4
10550,2003,-8.947976107508692,5
10551,2003,-8.740336742730447,6
10552,2003,-8.804875263868018,7
10553,2003,-8.740336742730447,8
10554,2003,-8.87386813535497,9
10555,2003,-8.947976107508692,10
10556,2003,-8.947976107508692,11
10557,2003,-8.377431249041079,12
10558,2003,-8.517193191416238,13
10559,2003,-8.421883011611913,14
10560,2003,-8.016417903503749,15
10561,2003,-7.706262975199909,16
10562,2003,-7.369790738578696,17
10563,2003,-7.236259345954173,18
10564,2003,-7.222466023821838,19
10565,2003,-7.082108666126914,20
10566,2003,-7.1691200431165445,21
10567,2003,-7.182192124683898,22
10568,2003,-7.106206217705975,23
10569,2003,-7.1691200431165445,24
10570,2003,-7.09408485717363,25
10571,2003,-7.222466023821838,26
10572,2003,-7.1184763102977895,27
10573,2003,-7.1691200431165445,28
10574,2003,-6.959048573369688,29
10575,2003,-6.938214486466846,30
10576,2003,-6.849486370858162,31
10577,2003,-6.785537646257888,32
10578,2003,-6.725433722188183,33
10579,2003,-6.615085665019317,34
10580,2003,-6.645391014514646,35
10581,2003,-6.578451531839537,36
10582,2003,-6.557098407368968,37
10583,2003,-6.325539659129474,38
10584,2003,-6.348139491046714,39
10585,2003,-6.22972173623224,40
10586,2003,-6.101279413115189,41
10587,2003,-6.044865323835097,42
10588,2003,-5.95609740327069,43
10589,2003,-5.907123398674231,44
10590,2003,-5.836171662701947,45
10591,2003,-5.779584188072483,46
10592,2003,-5.6958143050070245,47
10593,2003,-5.5164733763512075,48
10594,2003,-5.521460917862246,49
10595,2003,-5.435283221621194,50
10596,2003,-5.339139361068292,51
10597,2003,-5.251433780649187,52
10598,2003,-5.169045030843898,53
10599,2003,-5.064036070823371,54
10600,2003,-4.983506626708003,55
10601,2003,-4.928134072584512,56
10602,2003,-4.806063128367481,57
10603,2003,-4.7284684023325845,58
10604,2003,-4.6575166663603005,59
10605,2003,-4.563069009969456,60
10606,2003,-4.477656865689132,61
10607,2003,-4.422015642890245,62
10608,2003,-4.313247119279056,63
10609,2003,-4.236369062251518,64
10610,2003,-4.1326696765437685,65
10611,2003,-4.073953872574367,66
10612,2003,-3.9819091328923126,67
10613,2003,-3.8800399595750954,68
10614,2003,-3.788920808294163,69
10615,2003,-3.686881451451263,70
10616,2003,-3.6104380278073736,71
10617,2003,-3.480890150571404,72
10618,2003,-3.396508392176024,73
10619,2003,-3.2770347390417327,74
10620,2003,-3.18689277901515,75
10621,2003,-3.062299517826104,76
10622,2003,-2.9727973022714953,77
10623,2003,-2.8551011438142453,78
10624,2003,-2.759080372214989,79
10625,2003,-2.6578324849415926,80
10626,2003,-2.526979426209908,81
10627,2003,-2.4312142355912263,82
10628,2003,-2.316481198186157,83
10629,2003,-2.216682663993342,84
10630,2003,-2.1215143181017435,85
10631,2003,-2.0130547296846473,86
10632,2003,-1.9240801664686644,87
10633,2003,-1.8408656833360078,88
10634,2003,-1.7621812496992992,89
10635,2003,-1.6369118894348553,90
10636,2003,-1.57609985282359,91
10637,2003,-1.5000455356629034,92
10638,2003,-1.4041325192497704,93
10639,2003,-1.3249735111383067,94
10640,2003,-1.2516585785584962,95
10641,2003,-1.1832882131331033,96
10642,2003,-1.1187129603751127,97
10643,2003,-1.057883098454041,98
10644,2003,-1.0008415022770558,99
10645,2003,-0.9475234343052537,100
10646,2003,-0.8978861401980505,101
10647,2003,-0.8518615917184654,102
10648,2003,-0.8092990472959923,103
10649,2003,-0.7700930218115924,104
10650,2003,-0.7340941828933516,105
10651,2003,-0.7011390304894978,106
10652,2003,-0.6710726262416347,107
10653,2003,-0.6437096069576141,108
10654,2003,-0.6188749361853579,109
10655,2003,0.0,110+
10656,2004,-5.423880589523383,0
10657,2004,-8.016417903503749,1
10658,2004,-8.254828926948747,2
10659,2004,-8.568486485803788,3
10660,2004,-9.115030192171858,4
10661,2004,-8.947976107508692,5
10662,2004,-9.115030192171858,6
10663,2004,-9.115030192171858,7
10664,2004,-8.622553707074063,8
10665,2004,-9.115030192171858,9
10666,2004,-8.679712120914012,10
10667,2004,-8.87386813535497,11
10668,2004,-8.804875263868018,12
10669,2004,-8.622553707074063,13
10670,2004,-8.334871634622283,14
10671,2004,-8.016417903503749,15
10672,2004,-7.824046010856292,16
10673,2004,-7.418580902748128,17
10674,2004,-7.293417759794122,18
10675,2004,-7.369790738578696,19
10676,2004,-7.264430222920869,20
10677,2004,-7.3232707229438025,21
10678,2004,-7.236259345954173,22
10679,2004,-7.208860371766058,23
10680,2004,-7.278818960372969,24
10681,2004,-7.195437351433918,25
10682,2004,-7.264430222920869,26
10683,2004,-7.1691200431165445,27
10684,2004,-7.05857816871672,28
10685,2004,-7.156216638280637,29
10686,2004,-7.106206217705975,30
10687,2004,-6.980325971816972,31
10688,2004,-7.013115794639964,32
10689,2004,-6.830794237846009,33
10690,2004,-6.821577582741084,34
10691,2004,-6.676643558018751,35
10692,2004,-6.645391014514646,36
10693,2004,-6.419175264163466,37
10694,2004,-6.444021262749997,38
10695,2004,-6.276483502140279,39
10696,2004,-6.371261908467568,40
10697,2004,-6.22972173623224,41
10698,2004,-6.1469494499483766,42
10699,2004,-6.092390465697942,43
10700,2004,-5.959965880048611,44
10701,2004,-5.809142990314028,45
10702,2004,-5.773132552790995,46
10703,2004,-5.652139241504362,47
10704,2004,-5.544217904984863,48
10705,2004,-5.518964037663659,49
10706,2004,-5.386056280856043,50
10707,2004,-5.3043354388736,51
10708,2004,-5.251433780649187,52
10709,2004,-5.181423615076537,53
10710,2004,-5.1243640594245985,54
10711,2004,-5.040579170469328,55
10712,2004,-4.908981640369756,56
10713,2004,-4.879607031689852,57
10714,2004,-4.8196017967002796,58
10715,2004,-4.695094893516078,59
10716,2004,-4.61421093064024,60
10717,2004,-4.550682000704022,61
10718,2004,-4.525435217969238,62
10719,2004,-4.403046001897957,63
10720,2004,-4.262999928252241,64
10721,2004,-4.177943586098414,65
10722,2004,-4.057048777478403,66
10723,2004,-4.015718241766911,67
10724,2004,-3.9235896417996114,68
10725,2004,-3.854225906701929,69
10726,2004,-3.742702260811443,70
10727,2004,-3.655057905638426,71
10728,2004,-3.550161534802114,72
10729,2004,-3.4376539186727704,73
10730,2004,-3.37494501051809,74
10731,2004,-3.228421237711732,75
10732,2004,-3.114966361477689,76
10733,2004,-3.0059846500183425,77
10734,2004,-2.9200683696330016,78
10735,2004,-2.8080915552824366,79
10736,2004,-2.701422214811989,80
10737,2004,-2.5980305560636605,81
10738,2004,-2.4956845229598787,82
10739,2004,-2.367550371846405,83
10740,2004,-2.2632682306170953,84
10741,2004,-2.1667438700826325,85
10742,2004,-2.0593252380950116,86
10743,2004,-1.993924614157073,87
10744,2004,-1.89432389758388,88
10745,2004,-1.8048447087767103,89
10746,2004,-1.7009503129402077,90
10747,2004,-1.6271437395530326,91
10748,2004,-1.521747599307112,92
10749,2004,-1.4661170929898784,93
10750,2004,-1.3504640041190632,94
10751,2004,-1.2994563324875525,95
10752,2004,-1.229495761557022,96
10753,2004,-1.1631508098056809,97
10754,2004,-1.1004840393009057,98
10755,2004,-1.0414855419962272,99
10756,2004,-0.9861768593383216,100
10757,2004,-0.9344801610743655,101
10758,2004,-0.8863679182229005,102
10759,2004,-0.8417400006098588,103
10760,2004,-0.8004651663685647,104
10761,2004,-0.7624329520807811,105
10762,2004,-0.7275109079879049,106
10763,2004,-0.6955099697491338,107
10764,2004,-0.6663105266063858,108
10765,2004,-0.6397012048543194,109
10766,2004,0.0,110+
10767,2005,-5.479839243171427,0
10768,2005,-7.986564940354067,1
10769,2005,-8.421883011611913,2
10770,2005,-8.622553707074063,3
10771,2005,-8.517193191416238,4
10772,2005,-8.947976107508692,5
10773,2005,-8.947976107508692,6
10774,2005,-9.028018815182229,7
10775,2005,-9.210340371976182,8
10776,2005,-9.115030192171858,9
10777,2005,-9.115030192171858,10
10778,2005,-8.804875263868018,11
10779,2005,-8.804875263868018,12
10780,2005,-8.804875263868018,13
10781,2005,-8.421883011611913,14
10782,2005,-8.047189562170502,15
10783,2005,-7.6842840684811335,16
10784,2005,-7.487573774235079,17
10785,2005,-7.418580902748128,18
10786,2005,-7.1308988302963465,19
10787,2005,-7.264430222920869,20
10788,2005,-7.236259345954173,21
10789,2005,-7.250245587928913,22
10790,2005,-7.222466023821838,23
10791,2005,-7.354042381610556,24
10792,2005,-7.195437351433918,25
10793,2005,-7.385791079925137,26
10794,2005,-7.208860371766058,27
10795,2005,-7.369790738578696,28
10796,2005,-7.236259345954173,29
10797,2005,-7.222466023821838,30
10798,2005,-7.024289095238089,31
10799,2005,-6.897804948128969,32
10800,2005,-6.980325971816972,33
10801,2005,-6.868534565828856,34
10802,2005,-6.684611727667927,35
10803,2005,-6.750751530172472,36
10804,2005,-6.5929445391421035,37
10805,2005,-6.41305903714603,38
10806,2005,-6.41305903714603,39
10807,2005,-6.276483502140279,40
10808,2005,-6.2450673059069,41
10809,2005,-6.161067331494162,42
10810,2005,-6.151633299260803,43
10811,2005,-5.959965880048611,44
10812,2005,-5.899797358582158,45
10813,2005,-5.832752855953161,46
10814,2005,-5.729100282640491,47
10815,2005,-5.657853542767802,48
10816,2005,-5.549346121351782,49
10817,2005,-5.408132232555244,50
10818,2005,-5.362322696523949,51
10819,2005,-5.257175423216862,52
10820,2005,-5.226927370461364,53
10821,2005,-5.075173815233827,54
10822,2005,-5.0328809030435755,55
10823,2005,-4.9518947990736555,56
10824,2005,-4.866534950122499,57
10825,2005,-4.798754935060757,58
10826,2005,-4.6617405374764855,59
10827,2005,-4.588313068921669,60
10828,2005,-4.55638002181866,61
10829,2005,-4.4602044157379055,62
10830,2005,-4.400598020259317,63
10831,2005,-4.3177381447915195,64
10832,2005,-4.200371966867631,65
10833,2005,-4.1068220837332134,66
10834,2005,-3.9916074847709884,67
10835,2005,-3.9440298015632327,68
10836,2005,-3.828141521447444,69
10837,2005,-3.7575866521237273,70
10838,2005,-3.6419958682150857,71
10839,2005,-3.5397700315260954,72
10840,2005,-3.460310646154662,73
10841,2005,-3.3312050098421206,74
10842,2005,-3.2378038347537195,75
10843,2005,-3.1262966435751074,76
10844,2005,-3.009831197933493,77
10845,2005,-2.900967697109568,78
10846,2005,-2.7733890424105505,79
10847,2005,-2.6641290140442817,80
10848,2005,-2.576232776482023,81
10849,2005,-2.4719509386277845,82
10850,2005,-2.353352210047699,83
10851,2005,-2.2693437592142436,84
10852,2005,-2.1568410789413397,85
10853,2005,-2.0410673405629445,86
10854,2005,-1.9365540541312884,87
10855,2005,-1.8513184090852746,88
10856,2005,-1.7686095093293555,89
10857,2005,-1.6910276494740548,90
10858,2005,-1.6044503709230613,91
10859,2005,-1.517177834008803,92
10860,2005,-1.4001499074103314,93
10861,2005,-1.3375803903292909,94
10862,2005,-1.273394339104441,95
10863,2005,-1.203939471548146,96
10864,2005,-1.138185063787933,97
10865,2005,-1.0762247697904803,98
10866,2005,-1.0180189633815084,99
10867,2005,-0.9635920049921681,100
10868,2005,-0.9128466694716,101
10869,2005,-0.8657164459112217,102
10870,2005,-0.8220948089871987,103
10871,2005,-0.7818909663944997,104
10872,2005,-0.7449248027415849,105
10873,2005,-0.7110464204477771,106
10874,2005,-0.6801125022894897,107
10875,2005,-0.6519476573126289,108
