,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
70,0.0134050732277525,0.0131454088020351,0.0128907415961984,0.0126409766917579,0.0123960209250495,0.0121557828566394,0.0119201727411966,0.0116891024978204,0.0114624856808224,0.0112402374509552,0.011022274547087,0.010808515258315,0.0105988793965147,0.0103932882693203,0.0101916646535308,0.0099939327689395,0.0098000182525789,0.0096098481333791,0.0094233508072344,0.0092404560124714,0.0090610948057175,0.0088851995381613
71,0.0143566729491739,0.014079392571137,0.0138074302624427,0.0135406854507798,0.0132790594112548,0.0130224552345527,0.0127707777955659,0.0125239337224861,0.012281831366356,0.0120443807710769,0.0118114936438688,0.0115830833261776,0.0113590647650277,0.0111393544848136,0.0109238705595274,0.0107125325854176,0.0105052616540748,0.0103019803259406,0.0101026126042331,0.0099070839092876,0.0097153210533052,0.0095272522155057
72,0.0154104473544023,0.0151070606920592,0.0148096022554736,0.0145179579444372,0.0142320157870022,0.013951665902442,0.0136768004647499,0.0134073136666748,0.0131431016842869,0.0128840626420723,0.0126300965785516,0.0123811054124174,0.0121369929091891,0.0118976646483772,0.0116630279911557,0.0114329920485355,0.0112074676500354,0.0109863673128464,0.0107696052114825,0.0105570971479145,0.0103487605221809,0.0101445143034725
73,0.016534735647395,0.0162065474738737,0.0158848211447493,0.0155694314810491,0.0152602556480889,0.0149571731147601,0.0146600656133951,0.0143688171002079,0.0140833137163095,0.0138034437492908,0.0135290975953733,0.0132601677221216,0.0129965486317139,0.0127381368247676,0.0124848307647145,0.0122365308427218,0.0119931393431534,0.0117545604095687,0.0115207000112508,0.0112914659102634,0.0110667676290266,0.0108465164184104
74,0.0179087888425824,0.017552670688757,0.0172035725184957,0.0168613583714506,0.016525894825087,0.0161970509510939,0.0158746982723896,0.0155587107207229,0.0152489645948656,0.014945338519396,0.0146477134040697,0.0143559724037752,0.0140700008790708,0.0137896863573011,0.0135149184942862,0.0132455890365835,0.0129815917843157,0.012722822554561,0.0124691791453028,0.0122205612999317,0.0119768706722973,0.0117380107923044
75,0.0196281007126744,0.019244496122845,0.0188683171349188,0.0184994227742608,0.0181376746354732,0.0177829368397475,0.0174350759927589,0.0170939611431028,0.0167594637412716,0.0164314575991739,0.016109818850194,0.0157944259097885,0.0154851594366229,0.0151819022942421,0.0148845395132748,0.0145929582541702,0.0143070477704615,0.0140266993725564,0.013751806392051,0.013482264146561,0.0132179699050718,0.0129588228537988
76,0.0212380533849495,0.0208219846419576,0.0204139828939022,0.0200138949971569,0.0196215705885969,0.0192368620400726,0.0188596244134284,0.0184897154160723,0.018126995357095,0.0177713271039407,0.0174225760396307,0.0170806100205388,0.0167452993347189,0.0164165166607851,0.0160941370273415,0.015778037772962,0.0154680985067182,0.0151642010692526,0.0148662294943969,0.0145740699713305,0.0142876108072789,0.0140067423907471
77,0.0237120703308035,0.0232598483354552,0.0228161512699306,0.0223808221927543,0.021953706909347,0.0215346539293711,0.0211235144245272,0.0207201421868047,0.0203243935871902,0.0199361275348376,0.0195552054367024,0.0191814911576426,0.0188148509809884,0.0184551535695828,0.0181022699272925,0.0177560733609919,0.0174164394430203,0.0170832459741108,0.0167563729467933,0.0164357025092691,0.0161211189297564,0.0158125085613083
78,0.0261017191736313,0.025614542716161,0.0251363433882518,0.024666960054307,0.0242062343123979,0.0237540104538101,0.0233101354229608,0.0228744587776934,0.0224468326499537,0.0220271117068546,0.0216151531121344,0.0212108164880103,0.0208139638774345,0.0204244597067537,0.020042170748776,0.0196669660862482,0.0192987170757437,0.0189372973119662,0.018582582592467,0.0182344508827802,0.0178927822819738,0.0175574589886195
79,0.0291768145120886,0.0286481130643436,0.0281288552677247,0.0276188773538249,0.0271180182175364,0.0266261193801548,0.0261430249527525,0.0256685815998297,0.0252026385032526,0.0247450473264822,0.024295662179106,0.0238543395816724,0.0234209384308397,0.0229953199648394,0.0225773477292641,0.022166887543179,0.0217638074655663,0.0213679777621014,0.0209792708722677,0.0205975613768109,0.0202227259655364,0.0198546434054511
80,0.0325816778105172,0.0320086932306923,0.0314456241582179,0.0308923046239323,0.0303485712405326,0.0298142631693349,0.0292892220872094,0.0287732921536974,0.0282663199783212,0.0277681545880956,0.0272786473952485,0.0267976521651601,0.0263250249845267,0.0258606242297571,0.0254043105356067,0.0249559467640576,0.024515397973448,0.0240825313878578,0.0236572163667545,0.0232393243749047,0.0228287289525535,0.0224253056858789
